EventID	TrackID	nPhotons	Px	Py	Pz	KineticEnergy	Hits
33	1	7703255	-212.579	-415.418	-534.943	612.039	25
34	1	8083793	-258.164	-474.753	-1308.31	1313.81	22
35	1	8468192	129.636	-154.075	-1189.34	1105.23	17
36	1	8468192	320.483	-296.357	-728.869	750.467	0
37	1	8569189	1305.98	1121.67	-1347.34	2083	2
38	1	8578281	-115.846	-131.544	-816.671	736.268	0
39	1	8578281	-784.224	516.832	-1059.24	1313.95	0
40	1	8727813	1418.14	-486.325	-1215.97	1827.57	7
41	1	8831115	-1.16391	-125.049	-824.524	734.962	3
42	1	9244100	157.386	414.403	-616.744	661.178	20
43	1	9563197	324.458	623.713	-1282.2	1360.46	11
44	1	9563197	-226.767	342.712	-835.037	830.998	0
45	1	9692501	-155.821	-601.481	-743.554	869.071	8
46	1	9799766	-441.196	37.4618	-661.328	697.197	3
47	1	10154220	-32.8249	-482.006	-720.404	768.157	13
48	1	10401932	-145.651	-143.997	-340.431	305.446	11
49	1	10401932	-139.144	68.9777	-644.952	566.09	0
50	1	10441624	-282.568	-272.5	-331.91	419.155	1
51	1	10725981	65.7612	166.521	-414.526	358.076	10
52	1	11053808	155.692	-25.7998	-497.046	426.436	19
53	1	11302625	-140.849	269.464	-1233.52	1169.17	14
54	1	11479940	313.736	-332.073	-932.578	938.166	10
55	1	11698803	-50.2242	275.367	-783.282	732.819	6
56	1	11979201	171.405	-125.299	-446.166	399.621	20
57	1	12158697	-413.961	-1188.37	-2467.17	2665.93	6
58	1	12316946	-280.77	35.6632	-381.039	380.611	5
59	1	12449044	185.068	192.93	-1153.39	1083.02	10
60	1	12739239	-558.559	-42.0707	-890.366	951.543	8
61	1	13164675	-285.982	-345.541	-1746.6	1700.71	20
62	1	13164675	-455.568	-149.018	-1079.2	1079.92	0
63	1	13164675	838.759	-119.272	-592.069	933.309	0
64	1	13164675	-18.3484	211.17	-250.738	239.252	0
65	1	13284046	400.328	-990.288	-1240.45	1534.71	10
66	1	13796133	110.258	267.662	-1040.14	979.171	22
67	1	14014470	-189.94	588.15	-1627.03	1638.01	6
68	1	14014470	353.281	96.5588	-579.145	587.67	0
69	1	14146423	-740.386	-347.023	-459.805	838.366	8
70	1	14562772	-781.137	281.911	-3057.93	3064.79	23
71	1	14875888	-48.0703	436.592	-1053.63	1040.74	13
72	1	15226995	-136.906	-16.3449	-690.16	606.027	11
73	1	15660141	413.246	204.751	-1447.94	1417.62	16
74	1	16124688	1336.47	-43.8535	-1828.14	2161.79	27
75	1	16666799	861.623	-8.45591	-1422.48	1560.8	28
76	1	17126623	926.012	-483.239	-1602.16	1809.83	19
77	1	17331864	378.281	-167.948	-536.845	580.395	5
78	1	17579883	-50.1265	-111.954	-812.776	723.085	12
79	1	17740335	-159.006	236.42	-500.756	480.087	12
80	1	17740335	424.065	80.6601	-946.818	940.27	0
81	1	17827786	1034.79	-1214.99	-1656.94	2197.3	3
82	1	18079893	-620.604	-479.522	-1240.26	1365.57	10
83	1	18205750	-6.71804	-396.712	-426.656	486.478	8
84	1	18626539	-2283.02	-94.62	-4245.2	4716.58	18
85	1	19058879	-1753.54	227.315	-3055.67	3426.32	25
86	1	19673160	-727.701	-111.169	-1321.48	1410.71	27
87	1	20136680	-2098.82	-652.319	-2509.39	3231.82	20
88	1	20321346	-1165.79	-341.791	-1509.55	1834.91	7
89	1	20749076	339.916	-1634.66	-4646.7	4833.03	25
90	1	21101281	-35.9103	-173.143	-331.854	284.93	20
91	1	21505853	-647.399	-1355.66	-1495.45	2016.72	26
92	1	21599937	-513.026	-1123.97	-1439.04	1793.95	4
93	1	22025242	691.504	797.292	-3078.82	3150.74	221
94	1	22025242	42.3387	62.5985	-550.456	459.918	0
95	1	22320500	-485.498	-188.759	-348.839	530.102	29
96	1	22776833	-686.191	-118.45	-929.35	1060.42	18
97	1	22888005	-1235.38	-406.046	-1177.01	1651.49	6
98	1	23285838	59.7536	278.969	-1085.82	1021.98	14
99	1	23285838	-101.929	12.0473	-416.753	336.362	0
100	1	23285838	194.264	-24.2026	-179.429	180.144	0
101	1	23285838	-1029.5	95.524	-1469.36	1694.11	0
102	1	23487185	835.434	-5091.58	-3136.09	5933.25	4
103	1	23502587	-547.171	-1097.66	-2011.76	2252.86	3
104	1	23502587	-122.562	305.539	-440.054	453.973	0
105	1	23695512	625.161	420.561	-776.044	981.129	7
106	1	23847695	45.6101	-38.1838	-215.852	141.918	3
107	1	24036063	-2.86153	-52.1277	-1319.63	1219.22	13
108	1	24475226	-1061.96	-132.269	-1433.59	1686.44	14
109	1	24531744	-1702.06	-729.757	-2458.37	2974	1
110	1	25023029	324.395	99.8053	-663.213	646.81	25
111	1	25484922	972.739	482.162	-2219.52	2367.42	21
112	1	25919060	514.418	-8.89219	-859.521	901.638	10
113	1	25941632	488.613	359.194	-941.996	1019.63	2
114	1	26492971	-3505.77	-1618.76	-5863.58	6915.99	17
115	1	26815791	-330.346	-183.573	-371.901	434.991	10
116	1	26815791	-651.904	-126.564	-950.133	1058.35	0
117	1	26815791	1471.19	1942.86	-1680.89	2856.72	0
118	1	27089117	-194.662	143.753	-211.658	232.751	14
119	1	27253610	-2261.14	3507.9	-3167.9	5135.04	11
120	1	27586310	-694.252	-11.481	-2176.28	2181.15	17
121	1	27987999	576.567	-387.179	-4845.24	4790.24	13
122	1	28418273	403.848	43.0201	-936.179	920.275	24
123	1	28798179	271.317	-50.8459	-1302	1229.47	8
124	1	29080970	188.311	182.72	-1035.5	967.781	6
125	1	29491934	-72.8595	-185.341	-555.602	493.939	14
126	1	29672518	12.2304	-1168.62	-1403.06	1723.43	3
127	1	29773543	-265.488	94.8228	-1778.28	1697.93	8
128	1	29915739	2053.02	-2499.04	-4535.72	5466.06	4
129	1	30317695	-209.661	639.752	-2243.31	2238.88	14
130	1	30591775	6.83425	11.395	-266.067	180.928	14
131	1	30978138	-239.67	193.787	-1041.94	986.037	11
132	1	30987991	50.8582	438.257	-1301.8	1272.93	0
