Lower_Energy_bin(GeV),Upper_Energy_bin(GeV),Energy_bin_center(GeV),Muon_flux
0.849386991417459,0.9515101298923214,0.8974921739774726,4.069837962962963
0.9515101298923214,1.0662570673533656,1.0055665247013745,4.3531712962962965
1.0662570673533656,1.1951512155004698,1.1269819998225348,4.663541666666666
1.1951512155004698,1.3399039800270205,1.263351174941077,4.911412037037037
1.3399039800270205,1.5024354180929875,1.4164842523106285,5.151597222222223
1.5024354180929875,1.68490222594547,1.5884111108428447,5.35287037037037
1.68490222594547,1.8897266879816905,1.7814152344248657,5.484768518518519
1.8897266879816905,2.1196266290722643,1.998057677907222,5.581759259259259
2.1196266290722643,2.377652361618967,2.241213008939802,5.604814814814815
2.377652361618967,2.667228137728426,2.5141072595647147,5.591180555555556
2.667228137728426,2.992196606981274,2.820362879185762,5.517615740740741
2.992196606981274,3.356869276280505,3.1640426964382136,5.3812037037037035
