wl,k
0.521603,4.883492222981e-07
0.527643,3.718663054733e-07
0.533752,2.840872063284e-07
0.539933,2.177195108088e-07
0.546185,1.673758046032e-07
0.55251,1.29063076646e-07
0.558907,9.981228067833e-08
0.565379,7.74087161543e-08
0.571926,6.019516365553e-08
0.578549,4.692768900146e-08
0.585248,3.666969531874e-08
0.592025,2.871383718065e-08
0.59888,2.252429364357e-08
0.605815,1.769396294926e-08
0.61283,1.39126267805e-08
0.619926,1.094320278697e-08
0.627104,8.603978526335e-09
0.634366,6.755281700465e-09
0.641712,5.289450223133e-09
0.649142,4.123263815185e-09
0.656659,3.192216990809e-09
0.664263,2.446173390686e-09
0.671955,1.84605922586e-09
0.679735,1.36134053089e-09
0.687606,9.680932545103e-10
0.695568,6.47522948938e-10
0.703623,3.848263329512e-10
0.71177,1.683134976591e-10
0.720012,1.526930201152e-239
0.72835,9.573692202522e-234
0.736783,4.380628319758e-228
0.745315,1.473531979539e-222
0.753945,3.66982786562e-217
0.762676,6.814287057366e-212
0.771507,9.49816903171e-207
0.780441,1.000442959375e-201
0.789478,8.014927804022e-197
0.798619,4.914946345412e-192
0.807867,2.32136545791e-187
0.817222,8.495825952295e-183
0.826685,2.42368593149e-178
0.836257,5.420856526385e-174
0.845941,9.559490745985e-170
0.855736,1.336518210944e-165
0.865645,1.489467906968e-161
0.875669,1.330125297686e-157
0.885809,9.567433083644e-154
0.896066,5.570891395037e-150
0.906442,2.638851598766e-146
0.916938,1.021766795103e-142
0.927555,3.249171840476e-139
0.938296,8.524487914677e-136
0.949161,1.853461070939e-132
0.960152,3.35442624825e-129
0.97127,5.07491708829e-126
0.982517,6.445092462949e-123
0.993894,6.899071713967e-120
1.0054,6.249488511757e-117
1.01704,4.809298403021e-114
1.02882,3.1561277906e-111
1.04073,1.772871010749e-108
1.05279,8.555123970237e-106
1.06498,3.559120118378e-103
1.07731,1.280947123009e-100
1.08978,4.001864040159e-98
1.1024,1.088861080584e-95
1.11517,2.588600078433e-93
1.12808,5.393997479603e-91
1.14114,9.882097656708e-89
1.15436,1.596572315577e-86
1.16772,2.281430973743e-84
1.18124,2.891705712973e-82
1.19492,3.260234081449e-80
1.20876,3.278560105264e-78
1.22276,2.948637752621e-76
1.23692,2.3779402577e-74
1.25124,1.723982183971e-72
1.26573,1.126425117098e-70
1.28038,6.649208006555e-69
1.29521,3.554441505187e-67
1.31021,1.724719837893e-65
1.32538,7.613773681975e-64
1.34073,3.064652320642e-62
1.35625,1.127211985619e-60
1.37196,3.79659784312e-59
1.38784,1.173406159156e-57
1.40391,3.334619030754e-56
1.42017,8.730661569833e-55
1.43661,2.110037830941e-53
1.45325,4.716231890463e-52
1.47008,9.767030868502e-51
1.4871,1.877476912731e-49
1.50432,3.355794047803e-48
1.52174,5.58690070787e-47
1.53936,8.678218464445e-46
1.55718,1.259755576633e-44
1.57522,1.711723788445e-43
1.59346,2.180480652957e-42
1.61191,2.60798837123e-41
1.63057,2.933203758163e-40
