wl,n
0.475707,2.413886013133
0.481216,2.40722959611
0.486788,2.400847265421
0.492425,2.394722659183
0.498127,2.388840797085
0.503895,2.383187924691
0.50973,2.377751379674
0.515632,2.372519476311
0.521603,2.367481405273
0.527643,2.362627146291
0.533752,2.35794739171
0.539933,2.353433479323
0.546185,2.349077333115
0.55251,2.344871410807
0.558907,2.340808657261
0.565379,2.336882462967
0.571926,2.333086626932
0.578549,2.329415323417
0.585248,2.325863072057
0.592025,2.322424710919
0.59888,2.319095372184
0.605815,2.315870460127
0.61283,2.312745631141
0.619926,2.309716775579
0.627104,2.30678000121
0.634366,2.303931618123
0.641712,2.301168124925
0.649142,2.298486196098
0.656659,2.295882670406
0.664263,2.293354540236
0.671955,2.290898941794
0.679735,2.288513146067
0.687606,2.286194550483
0.695568,2.283940671204
0.703623,2.281749135985
0.71177,2.279617677574
0.720012,2.277544127534
0.72835,2.275526410752
0.736783,2.273562539895
0.745315,2.271650610494
0.753945,2.269788796456
0.762676,2.267975345753
0.771507,2.266208576395
0.780441,2.264486872717
0.789478,2.262808681848
0.798619,2.261172510434
0.807867,2.259576921578
0.817222,2.258020531934
0.826685,2.256502009004
0.836257,2.255020068581
0.845941,2.253573472372
0.855736,2.252161025698
0.865645,2.250781575412
0.875669,2.249434007853
0.885809,2.248117246974
0.896066,2.246830252539
0.906442,2.245572018431
0.916938,2.244341571054
0.927555,2.24313796781
0.938296,2.241960295661
0.949161,2.240807669769
0.960152,2.2396792322
0.97127,2.238574150695
0.982517,2.237491617485
0.993894,2.23643084822
1.0054,2.235391080853
1.01704,2.234371574694
1.02882,2.233371609393
1.04073,2.232390484057
1.05279,2.231427516369
1.06498,2.230482041734
1.07731,2.229553412511
1.08978,2.228640997214
1.1024,2.227744179803
1.11517,2.226862358966
1.12808,2.225994947453
1.14114,2.22514137143
1.15436,2.224301069864
1.16772,2.223473493894
1.18124,2.222658106333
1.19492,2.221854380976
1.20876,2.221061802243
1.22276,2.220279864521
1.23692,2.219508071728
1.25124,2.218745936834
1.26573,2.21799298137
1.28038,2.217248735056
1.29521,2.216512735236
1.31021,2.215784526551
1.32538,2.215063660554
1.34073,2.214349695183
1.35625,2.213642194489
1.37196,2.212940728232
1.38784,2.212244871495
1.40391,2.211554204385
1.42017,2.210868311518
1.43661,2.210186781852
1.45325,2.209509208326
1.47008,2.208835187485
1.4871,2.208164319091
1.50432,2.207496205961
1.52174,2.2068304535
1.53936,2.206166669522
1.55718,2.205504463934
1.57522,2.20484344834
1.59346,2.204183235747
1.61191,2.203523440382
1.63057,2.202863677397
1.64945,2.202203562381
1.66855,2.20154271143
1.68787,2.200880740484
1.70742,2.200217265176
1.72719,2.199551900852
1.74719,2.198884261653
1.76742,2.198213960892
1.78789,2.197540610365
1.80859,2.196863820189
1.82953,2.196183198497
1.85072,2.195498351185
1.87215,2.194808881521
1.89383,2.194114390094
1.91575,2.193414474335
1.93794,2.192708728035
1.96038,2.191996741374
1.98308,2.19127810071
2.00604,2.190552387733
2.02927,2.189819179683
2.05277,2.189078048734
2.07654,2.188328561799
2.10058,2.187570280268
2.12491,2.186802759441
2.14951,2.186025548205
2.1744,2.185238189146
2.19958,2.184440217475
2.22505,2.183631161417
2.25082,2.182810540893
2.27688,2.181977868299
2.30324,2.181132646964
2.32991,2.180274371785
2.35689,2.179402527905
2.38418,2.178516590578
2.41179,2.177616025185
2.43972,2.176700286413
2.46797,2.175768817154
2.49655,2.17482104967
2.52546,2.17385640341
2.5547,2.172874284449
2.58428,2.171874087349
2.61421,2.170855190839
2.64448,2.169816961244
2.6751,2.168758747935
2.70608,2.167679885944
2.73741,2.166579693145
2.76911,2.165457471194
2.80117,2.164312503651
2.83361,2.163144055373
2.86642,2.161951371125
2.89961,2.160733677014
2.93319,2.159490177618
2.96715,2.158220054002
3.00151,2.156922466498
3.03627,2.155596549098
3.07142,2.154241413006
3.10699,2.152856140345
3.14297,2.151439788304
3.17936,2.149991382114
3.21618,2.148509919573
3.25342,2.146994363564
3.29109,2.145443644597
3.3292,2.143856656977
3.36775,2.142232257824
3.40675,2.140569264388
3.4462,2.138866450618
3.4861,2.137122547988
3.52647,2.135336237118
3.5673,2.133506150917
3.60861,2.131630870361
3.6504,2.129708915143
3.69266,2.127738748988
3.73542,2.125718771174
3.77868,2.123647316232
3.82243,2.121522643638
3.86669,2.119342944965
3.91147,2.117106332621
3.95676,2.114810843988
4.00258,2.112454429824
4.04893,2.110034960202
4.09581,2.107550222912
4.14324,2.104997923931
4.19121,2.102375679734
4.23975,2.099681031329
4.28884,2.09691144301
4.3385,2.094064300247
4.38874,2.091136921126
4.43956,2.088126565824
